image_number,soho_x,soho_y,soho_z,soho_qw,soho_qx,soho_qy,soho_qz,cam_x,cam_y,cam_z,cam_qw,cam_qx,cam_qy,cam_qz
1,224.61199573225701,945.6032373850086,113.64394069911867,0.5695775810789953,-0.7400902017421961,0.24003023741834284,-0.26501576847857583,-637.5459364505335,-23.199975253970305,322.52395646541,0.6177912270433423,-0.7126229982826017,0.23422709601034283,-0.23588160081184448
2,224.6053411586506,945.6143748723874,113.63320727799821,0.5694244450475553,-0.7400715585163978,0.24018331566994974,-0.2652581092656414,-635.9653007597644,-24.566407484054874,322.4109656918192,0.6024664451728592,-0.6973268431001832,0.2769056463024611,-0.27219977843217874
3,224.6039454716091,945.6183994774057,113.60719558215082,0.5695426847881409,-0.7399608029609097,0.24006647871161887,-0.2654189633103971,-638.9706769931065,-22.44362617910085,322.4132605976917,0.6289206089831602,-0.7271185998499767,0.18547436481932517,-0.20336339233826817
4,266.589597321645,934.172284038386,110.76091350752783,0.12181982708715015,-0.14067511468820437,0.03711025065606679,0.9818315900052114,-634.5943057232646,-15.601176340685104,319.9682300838308,0.5819198362528419,-0.766309430414341,0.18782483493875843,-0.19713191627370252
5,224.63767031374192,945.7008906994646,113.62838605034568,0.6307437494524792,-0.7109040152204916,0.24098798656339884,-0.19672974864552195,-631.5219303026457,-17.460087225985,319.7813762160284,0.5678995054427286,-0.7423474192614402,0.26686325228891145,-0.23493502380779427
6,266.5694603692902,933.9763639937034,110.77378430095892,0.1251735498797022,-0.139962437909514,0.03813668909198839,0.9814722060914615,-630.1018672748262,-19.389627966552897,319.79313538462293,0.555600436427792,-0.7328050886328685,0.29657190308775144,-0.257584866430329
7,249.78425102847362,862.2434813613285,111.71898698942654,0.630364481867205,-0.7332479012994078,-0.21271853463372523,0.14049541011572148,-265.13923175594294,-244.44052419055657,323.05538744383244,0.6327699106101086,-0.7238183387114907,0.19465585644661706,-0.1944179783930672
8,355.4322551784744,748.5766837321084,114.61287500026057,-0.03253812752403939,-0.1463474429383715,0.021513403474385365,0.9884638939655701,-263.9470677962785,-243.04422577522826,323.243071663307,0.6454411132083052,-0.714266629703036,0.18235996261852436,-0.19993447703400338
9,384.3589974730128,716.6043466869395,116.14051375181155,0.546493753410001,-0.7041903622117764,0.3301682058900066,-0.3105631450627561,-263.97529737018414,-243.02779785580685,323.2018490965003,0.6451357316842393,-0.7145756506720543,0.18199576547405077,-0.2001476168240974
10,384.3885306504132,716.6433997199675,116.1167810347239,0.54640147091117,-0.704121409051075,0.3301624043936688,-0.31088785860343604,-261.8993971578262,-243.829629719141,323.7833555872983,0.6313055942989803,-0.6956550490732887,0.23431517021632192,-0.25022729729617393
11,384.55767183662914,716.3768506979305,116.06105165695496,0.5339390781558597,-0.7041416278886538,0.32677066394203286,-0.33513364778737237,-262.62894870192093,-239.65903963777083,321.56460789077494,0.602025666161836,-0.7501733683021536,0.20260404895913542,-0.18372973117588606
12,384.5808106021659,716.3781386021409,116.03771617713399,0.5339214585418401,-0.704094008297444,0.32668441697742645,-0.33534578466459364,-258.56055399920893,-239.55078852434448,322.25241880275684,0.6006564815955627,-0.7237508320738808,0.24113520793357468,-0.23927042375612662
13,384.57332839732635,716.3586309497708,116.04992851119901,0.5337918332808712,-0.7041319509958872,0.32658484216900985,-0.33556938950806436,-257.6038400164035,-238.26718809413723,320.17574727840463,0.5486529074963403,-0.7710963382780461,0.2547552734546373,-0.19872134972632996
14,384.58359521229005,716.3822108707974,115.99501435450836,0.5338466474537302,-0.7040197561993751,0.32668864211514353,-0.33561655351956166,-260.1563957240163,-235.78102586135947,319.67666817333844,0.5703583051037967,-0.770120161513532,0.22146491298604346,-0.1804428800079956
15,384.5785733128506,716.3973261432308,116.00818745711676,0.5337880165134177,-0.7039926041368568,0.3268019038535304,-0.3356564946265542,-264.5552141865361,-243.3978628104408,323.29738132954367,0.6501946206995914,-0.7139338406887349,0.17368008170975704,-0.193340775704554
16,-374.6802384951675,786.362547767158,628.5748187299752,0.6190279256265484,-0.7526156413054882,-0.08418571663322522,0.20805501405102378,-88.75183604790001,-545.586240518796,324.6182726916971,0.7870473038485676,-0.6145740682528409,-0.05085107341234632,0.016414154521790188
17,-374.6686337816751,786.3899814828368,628.5522532807934,0.6191556154849945,-0.7524923315779263,-0.08407678823935276,0.20816509892191107,-87.41931666666419,-545.324160554027,324.67472446382976,0.7839750736722161,-0.6102740774499001,-0.0900574835634466,0.06955777388284086
